Poem name,Poet,Line,Metaphor present or not,count of the metaphor,Metaphorical terms,The target domain,The source domain,Meaning
අසක්දා කව​,ගුණදාස අමරසේකර​,අඩ සඳ නළල නිලුපුල් සදිසි දෙනු ව න​,yes,1,අඩ සඳ නළල,නළල,අඩ සඳ,The forehead is similar to half moon
අසක්දා කව​,ගුණදාස අමරසේකර​,සිකි පිල වරල රතදර වුවන සිසි ව න ,yes,1,සිකි පිල වරල,වරල,සිකි පිල,Hair is similar to feathers of a peocock
අසක්දා කව​,ගුණදාස අමරසේකර​,රන හස දෙතන සිහිනිග උකුළ පතු රු ණ​,yes,1,රන හස දෙතන,දෙතන,රන හස,Breasts are similar to golden swan
අසක්දා කව​,ගුණදාස අමරසේකර​,සැබවින් මෙ මා රුව වෙද මෙලෙසින් පෙ නෙ න​,no,0,,,,
ජාතික තොටිල්ල,එස්. මහින්ද හිමි,නිදහස මහ මුහුදක් වේ,yes,1,නිදහස මහ මුහුදක්,නිදහස,මහ මුහුදක්,Peace is similar to the sea
ජාතික තොටිල්ල,එස්. මහින්ද හිමි,එහි උල්පත පුත නුඹ වේ,yes,1,උල්පත පුත,පුත,උල්පත,Son is related to fountain
ජාතික තොටිල්ල,එස්. මහින්ද හිමි,ඒ බව සිගිකොට මෙලො වේ,no,0,,,,
ජාතික තොටිල්ල,එස්. මහින්ද හිමි,යුතුකම ඉටු කළ යුතු වේ,no,0,,,,
ජාතික තොටිල්ල,එස්. මහින්ද හිමි,ජාතිය රන් විමනක් වේ,yes,1,ජාතිය රන් විමනක්,ජාතිය,රන් විමනක්,Nation is similar to golden plane
ජාතික තොටිල්ල,එස්. මහින්ද හිමි,ආගම මිණි පහනක් වේ,yes,1,ආගම මිණි පහනක්,ආගම,මිණි පහනක්,Religon is like a lamp made of gem
ජාතික තොටිල්ල,එස්. මහින්ද හිමි,එය රැකගන්නට මෙ ලොවේ,no,0,,,,
ජාතික තොටිල්ල,එස්. මහින්ද හිමි,සමත් වෙතොත් පුත නුඹ වේ,no,0,,,,
සැළලිහිණිය,තොටගමුවේ රාහුල හිමි ,ව න සි රි පියුම්‍ රා බඳ රනබරණ යුරු ,yes,1,ව න සි රි,කාන්තාව,වනය,Lady is related to a forest by the aurthor
සැළලිහිණිය,තොටගමුවේ රාහුල හිමි ,ව ට පි රි සුපුල් දුනුකේ මල් මුරුතතුරු,no,0,,,,
වස්සානය,රත්න ශ්‍රී විජේසිංහ,සෙනේහය පිරි ගිය ඔබෙ නයන නිල් පොකුණ​,yes,1,නයන නිල් පොකුණ,නයන,නිල් පොකුණ,Eyes are like a blue pond
වස්සානය,රත්න ශ්‍රී විජේසිංහ,දිය නිල්න වැසි සමේ රැලි නගා උතුරා ය​,no,0,,,,
අඩ සඳ,මීමන ප්‍රේමතිලක,රුමති යන්නේ මුව තඹරට පැරද ,yes,1,මුව තඹරට,මුව,තඹරට,Face is similar to a lotus flower
අඩ සඳ,මීමන ප්‍රේමතිලක,දෑකැති හදමු කපනට සර වනය ,no,0,,,,
මගුල් හීය​,අරිසෙන් අහුබුදු,සිසිර කුමරි පස්සට ලන්නී,yes,1,සිසිර කුමරි,ශ්‍රීත ඍතුව​,කුමරිය​,Winter is stated as a princes
මගුල් හීය​,අරිසෙන් අහුබුදු,ගිම් කුමරිට පෙරටු වැ එන්නී,yes,1,ගිම් කුමරිට,ග්‍රීෂ්ම ඍතුව​,කුමරිය​,Summer is similar to a princes
මගුල් හීය​,අරිසෙන් අහුබුදු,දිනිසුරු කුමරුට අත දෙන්නී,yes,1,දිනිසුරු කුමරුට,සූර්‍යයා,කුමරු,Sun has related to a prince
මගුල් හීය​,අරිසෙන් අහුබුදු,ලොවට මැ මගුලක් සලසන්නී,no,0,,,,
අබිනික්මන,සිරි ගුණසිංහ,දෙපා බැඳ තිබූ මගේ ජීවිතේ දම්වැලත්,yes,1,ජීවිතේ දම්වැලත්,ජීවිතේ,දම්වැල,Like is like a chain
අබිනික්මන,සිරි ගුණසිංහ,ජීවිතේ හිස රැගෙන​,yes,1,ජීවිතේ හිස,ජීවිතේ,හිස,Life is important as the head
අබිනික්මන,සිරි ගුණසිංහ,හදවතේ පුලිගු,yes,1,හදවතේ පුලිගු,හදවත,පුලිගු,Heart is related to sparks
අදුර අපේ දුක නිවාවි,ගුණදාස අමරසේකර​,අඳුර රෙද්ද පෙරවාලා අපෙ ඇඟපත කරවා,yes,1,අඳුර රෙද්ද,අඳුර,රෙද්ද,Darknes has related to a cloth
අදුර අපේ දුක නිවාවි,ගුණදාස අමරසේකර​,දෙවියෝ තමයි අඳුර දුන්නේ අප ඇඟපත ගිනි නිවන්න​,no,0,,,,
රන් තැටියක කඳුළු,දයාසේන ගුණසිංහ​,දස එකඩ මසක් ඈ රැකි,no,,,,,
රන් තැටියක කඳුළු,දයාසේන ගුණසිංහ​,සෙනෙහසේ නිධානය​,yes,1,සෙනෙහසේ නිධානය​,සෙනෙහස,නිධානය,Love is like a treasure
ගුත්තිලය,වෑත්තෑවේ හිමි,වැඳ රද පද කමල,yes,1,පද කමල,පාද,කමල​,Legs are similar to lotus flowers
ගුත්තිලය,වෑත්තෑවේ හිමි,සබයට අවුත් නො පැකිළ​,no,0,,,,
පේමතෝ ජායතී සෝකෝ,එදිරීවීර සරත්චද්‍ර,කෙලෙස් මලයෙන් මලිත සතහට,yes,1,කෙලෙස් මලයෙන්,කෙලෙස්,මල,Sins has related to garbage
පේමතෝ ජායතී සෝකෝ,එදිරීවීර සරත්චද්‍ර,සිප් සගුරේ පතුලටම කිමිදෙමින්,yes,1,සිප් සගුරේ,ශිල්ප,සාගරය,Skills have been related to a ocean by the aurthor
පේමතෝ ජායතී සෝකෝ,එදිරීවීර සරත්චද්‍ර,සැරිසරන තෙක් සසර සයුරේ,yes,1,සසර සයුරේ,සසර,සයුරේ,Existence is similar to a ocean 
පේමතෝ ජායතී සෝකෝ,එදිරීවීර සරත්චද්‍ර,පසිඳුරන් දොරටු රැකි මුර පිරිස්,yes,1,පසිඳුරන් දොරටු,පසිඳුරන්,දොරටු,Five senses of the body are like doors
පේමතෝ ජායතී සෝකෝ,එදිරීවීර සරත්චද්‍ර,මරණ පහුරේ නැගි නෙක වර​,yes,1,මරණ පහුරේ,මරණ,පහුරේ,Death is like raft
පේමතෝ ජායතී සෝකෝ,එදිරීවීර සරත්චද්‍ර,නිවන් වෙරළෙහි ගොඩ බසින තෙක්,yes,1,නිවන් වෙරළෙහි,නිවන්,වෙරළෙහි,Enlighment is similar to coast
පේමතෝ ජායතී සෝකෝ,එදිරීවීර සරත්චද්‍ර,භවයකින් තව භවයකට වන්,no,0,,,,
පේමතෝ ජායතී සෝකෝ,එදිරීවීර සරත්චද්‍ර,ඡවි වර්ණ මුව කමල​,yes,1,ඡවි වර්ණ මුව කමල​,මුව,කමල,Face is similar to a lotus flower
පේමතෝ ජායතී සෝකෝ,එදිරීවීර සරත්චද්‍ර,පිය තෙපුල් ළෙල නුවන්,no,0,,,,
පේමතෝ ජායතී සෝකෝ,එදිරීවීර සරත්චද්‍ර,මා කෙරේ සෙනේ ඇති,no,0,,,,
පේමතෝ ජායතී සෝකෝ,එදිරීවීර සරත්චද්‍ර,පාලු කතරකි මහද​,yes,1,පාලු කතරකි මහද​,පාලු කතරකි,මහද,My heart is like a desert
පේමතෝ ජායතී සෝකෝ,එදිරීවීර සරත්චද්‍ර,මගේම හදවත් කතරේ,yes,1,හදවත් කතරේ,හදවත,කතර,My heart is like a desert
පේමතෝ ජායතී සෝකෝ,එදිරීවීර සරත්චද්‍ර,මා නිසා නෙත් මිණි පහන් තුළ​,yes,1,නෙත් මිණි පහන්,නෙත්,මිණි පහන්,Eyes are like a lamp made of gem
පේමතෝ ජායතී සෝකෝ,එදිරීවීර සරත්චද්‍ර,දල්වනුව පෙම් දැල්ල නොනිවා,yes,1,පෙම් දැල්ල,පෙම්,දැල්ල,Love is like a flame
පේමතෝ ජායතී සෝකෝ,එදිරීවීර සරත්චද්‍ර,සකලු කරනු ය මා හද මැදුරක​,yes,1,හද මැදුරක​,හද,මැදුරක,Heart is like a palace
පේමතෝ ජායතී සෝකෝ,එදිරීවීර සරත්චද්‍ර,කල්පනා ගංඟාවේ ,yes,1,කල්පනා ගංඟාවේ,කල්පනා,ගංඟාවේ,Thoughts are similar to a river
පේමතෝ ජායතී සෝකෝ,එදිරීවීර සරත්චද්‍ර,පාවෙමින් යන ඔරුව​,no,0,,,,
පේමතෝ ජායතී සෝකෝ,එදිරීවීර සරත්චද්‍ර,ජීවිතේ සගරේ පවෙමින් යන ඔරුව,yes,1,ජීවිතේ සගරේ,ජීවිතය,සාගරය,Life is like a ocean
පේමතෝ ජායතී සෝකෝ,එදිරීවීර සරත්චද්‍ර,සිත් මසුන් ඩැහැ ගන්ට​,yes,1,සිත් මසුන්,සිත්,මසුන්,Mind is similar to fish
පේමතෝ ජායතී සෝකෝ,එදිරීවීර සරත්චද්‍ර,මෝහයේ පටලයෙන් වැසී ඇත ඇඳුරිදුගේ ඇස් සඟල​,yes,1,මෝහයේ පටලයෙන්,මෝහය,පටලය,Delusion is similar to a curtain
පේමතෝ ජායතී සෝකෝ,එදිරීවීර සරත්චද්‍ර,අදුරුතුමා වන්න මගේ,no,0,,,,
පේමතෝ ජායතී සෝකෝ,එදිරීවීර සරත්චද්‍ර,ජීවිතයේ ගිරි දුර්ගය​,yes,1,ජීවිතයේ ගිරි දුර්ගය,ජීවිතය,ගිරි දුර්ගය​,Life is like a never lasting gorge 
සැළලිහිණිය,තොටගමුවේ රාහුල හිමි ,සිසි වන උවන ඉඟ සූඟ ගත හැකි මිටින ,no,0,,,,
සැළලිහිණිය,තොටගමුවේ රාහුල හිමි ,නිසි පුළුලු කුළ රිය සකයුරු තිසර තන​​,yes,1,තිසර තන​,තන,තිසර,Breasts are similar to swan
විහඟ ආදරය,P.B. අල්විස් පෙරේරා,නෙත් අබ වගෙයි පා පොල් කෙඳි තොටිල්ලකි ,yes,1,පා පොල් කෙඳි තොටිල්ලකි,පාද,පොල් කෙඳි තොටිල්ල,Legs are like a cradle made of cocunut fibers
විහඟ ආදරය,P.B. අල්විස් පෙරේරා,පෙද වැටි පියාපත්  දේ දුනු වළල්ල්කි,yes,1,පියාපත්  දේ දුනු වළල්ල්කි,පියාපත්,දේ දුනු වළල්ල්කි,Feathers are like a rainbow ring
ගිරා සංදේශය​,Unknown,කලා සපිරි සිසි වත මන කලාවන්,yes,1,සිසි වත,වත,සිසි,Face is like a moon
ගිරා සංදේශය​,Unknown,නිලා තිබෙන බැම ඉඳු දුනු පිලාවන්,yes,1,බැම ඉඳු දුනු,බැම,ඉඳු දුනු,Eye Dahses are similar to rainbow
ගිරා සංදේශය​,Unknown,දුලා කතන තන රන හස පිලාවන්,yes,1,තන රන හස,තන,රන හස,Breasts are similar to golden swan
නූතන කවි,මන්ජුල දිසානායක​,මතක තුත්තිරි රෙද්ද ගසනෙමි,yes,1,මතක තුත්තිරි රෙද්ද,මතක,තුත්තිරි රෙද්ද,Memories are like cotton cloth
නූතන කවි,මන්ජුල දිසානායක​,මතක නුඹ ගැන හැලෙනු නැති හැටි,no,0,,,,
නූතන කවි,නාගොල්ලගොඩ ධර්මසිරි බෙනඩික්,අම්මාව හිත් ගොමුවෙ,yes,1,හිත් ගොමුවෙ,හිත,ගොමුව,Heart like a bush of flowes
නූතන කවි,නාගොල්ලගොඩ ධර්මසිරි බෙනඩික්,හීතලෙන් පිරීගිය​,no,0,,,,
මිහිර සැඟවුණු නිම්නයක සිට​,වසන්ත ප්‍රදීප්,හොඳින් තැන්පත් වෙමින් අසුනේ,no,0,,,,
මිහිර සැඟවුණු නිම්නයක සිට​,වසන්ත ප්‍රදීප්,නෙත් පියාගෙන සුවෙන් සිටිය ද​,no,0,,,,
මිහිර සැඟවුණු නිම්නයක සිට​,වසන්ත ප්‍රදීප්,අප ගිවිසගත් අන්තයට නොව ,no,0,,,,
මිහිර සැඟවුණු නිම්නයක සිට​,වසන්ත ප්‍රදීප්,ඔබෙ පෙම් රිය ගොසින් තිබුනේ,yes,1,පෙම් රිය,ප්‍රේමය,රිය,Love is like a vehicle
නූතන කවි,අනුරාධා නිල්මිනි,මතක පහනක් පමණ දල්වන්න​,yes,1,මතක පහනක්,මතක,පහනක්,Memories are like a lamp
නූතන කවි,අනුරාධා නිල්මිනි,නිදහසට පර්‍යාය පදයකි ය ආදරය​,no,0,,,,
නූතන කවි,ඉන්දික ගුනවර්ධන​​,රැඳෙනු බැරි බව දැන දැන​,no,0,,,,
නූතන කවි,ඉන්දික ගුනවර්ධන​​,මතක වෙරළට නිතර පැමිණෙන​,yes,1,මතක වෙරළට,මතක,වෙරළට,Meamories are like a long beach
නූතන කවි,ඉන්දික ගුනවර්ධන​​,හඬා වැළපී යළි යන​,no,0,,,,
නූතන කවි,ඉන්දික ගුනවර්ධන​​,රළකි මා මැරි මැරි උපදින​,yes,1,රළකි මා,මා,රළ,The author related him to a sea wave
නූතන කවි,ඉලක්‍ෂ ජයවර්ධන​,තෙලුත් තිරයත් දෙකම ඉතිරිව​,no,0,,,,
නූතන කවි,ඉලක්‍ෂ ජයවර්ධන​,නිවුනි ජීවිත පහන​,yes,1,ජීවිත පහන​,ජීවිතය,පහන,Life is like a lamp
නූතන කවි,බියංකා කුමාරසිරි,මැකීයනු පිණිස ලියූ පැරණි කවි පේළි,no,0,,,,
නූතන කවි,බියංකා කුමාරසිරි,සුළං රැල්ලක තබමි මතක අළු දූලි ,yes,1,මතක අළු,මතක,අළු,Memories are related to ashes
නූතන කවි,කල්පනා ඇඹ්‍රෝස්,තුලා අත දරා ගත්,yes,1,තුලා අත,අත,තුලා,Hand is related to a balance
නූතන කවි,කල්පනා ඇඹ්‍රෝස්,අඩිකෝදු මිනිසුනි,yes,1,අඩිකෝදු මිනිසුනි,මිනිසුනි,අඩිකෝදු,Humans are like a ruler
නූතන කවි,කල්පනා ඇඹ්‍රෝස්,හෘද උල්පත් සිඳුනේ,yes,1,හෘද උල්පත්,හෘද,උල්පත,Heart is similar to fountain
නූතන කවි,කල්පනා ඇඹ්‍රෝස්,විරහවේ පර මල්,no,0,,,,
නූතන කවි,කල්පනා ඇඹ්‍රෝස්,ගිලිහෙන්න කලියෙනි,no,0,,,,
නූතන කවි,බියංකා කුමාරසිරි,තුංග සඳගිරි පව්ව පාමුල දියව වෑහේ මුවරද​,no,0,,,,
නූතන කවි,බියංකා කුමාරසිරි,ලංව සිප බඳ කොමළ කළ මුව තඹර පරවේ හිමි සඳ​,yes,1,මුව තඹර,මුව,තඹර,Face is like a lotus
නූතන කවි,බියංකා කුමාරසිරි,කාන්තාර ඇස් දිලීසී බිමට බසී,yes,1,කාන්තාර ඇස්,ඇස්,කාන්තාර,Eyes have related to a desert
නූතන කවි,ඉලක්‍ෂ ජයවර්ධන​,ප්‍රේමය දවා අළු කල පසු හද සෑයේ,yes,1,හද සෑයේ,හද,සෑය,Heart is like a stupa
නූතන කවි,රන්සර බණ්ඩාර​,සංසාරා ගිරි දුර්ග,no,0,,,,
නූතන කවි,රන්සර බණ්ඩාර​,සංසාර කඳු අතර​,yes,1,සංසාර කඳු අතර​,සංසාර,කඳු,Existence is like a mountain
අබිනික්මන,සිරි ගුණසිංහ​,අඳහිට කිසිවෙක්,no,0,,,,
අබිනික්මන,සිරි ගුණසිංහ​,හිටගෙන කන්දක,no,0,,,,
අබිනික්මන,සිරි ගුණසිංහ​,පඬි හුලු අත්තෙන් දුන්නත් එලියක්​,yes,1,පඬි හුලු අත්තෙන්,පඬි,හුලු අත්ත,Knowledge is similar to a torch
අබිනික්මන,සිරි ගුණසිංහ​,බුද්ධියේ ඇල්වතුර ඉරක්,yes,1,බුද්ධියේ ඇල්වතුර,බුද්ධිය,ඇල්වතුර,Knowledge is similar to lukewarm water
අබිනික්මන,සිරි ගුණසිංහ​,ගෙල වටා ගා,no,0,,,,
අබිනික්මන,සිරි ගුණසිංහ​,ජීවිතේ හිස රැගෙන​,yes,1,ජීවිතේ හිස,ජීවිතය​,හිස,Life is like important as a head
අබිනික්මන,සිරි ගුණසිංහ​,දුනිමි දැන්​,no,0,,,,
මාර යුද්ධය,මහගමසේකර,සුවහසක් තරු පිරුණු රත්‍රිය,no,0,,,,
මාර යුද්ධය,මහගමසේකර,නිල් අහස් වියන් යට​,yes,1,අහස් වියන්,අහස්,වියන,Sky is like a shade
මාර යුද්ධය,මහගමසේකර,තනිව ම බවුන් පුරන කල​,no,0,,,,
නාගල කන්ද,විමල් දිසානායක​,බලන විට අවට ලොව ඇර මතකයෙනි දෙයැස​,yes,1,මතකයෙනි දෙයැස​,මතකය,දෙයැස,Memories are similar to the pair of eyes
නාගල කන්ද,විමල් දිසානායක​,පෙනෙයි නාගල කන්ද පැරනි මිතුරෙකු ලෙස,no,0,,,,
සැළලිහිණිය,තොටගමුවේ රාහුල හිමි ,සුරරද සමන් සමගින් සුරඟන එ වර​,no,0,,,,
සැළලිහිණිය,තොටගමුවේ රාහුල හිමි ,පැහැනද මදාරා පරසතු මල් පතර​,no,0,,,,
සැළලිහිණිය,තොටගමුවේ රාහුල හිමි ,කැර පුද වඳින රැඳි මුනි සිරි පා තඹර​,yes,1,පා තඹර​,පාද​,තඹර,Legs are like lotus flowers
සැළලිහිණිය,තොටගමුවේ රාහුල හිමි ,සකි සඳ පෙනේ සමනොළ ගල නැගෙන හිර​,no,0,,,,
සැළලිහිණිය,තොටගමුවේ රාහුල හිමි ,ගෙන එයි මිහිරි ගී මඳනල හමන​,no,,,,,
සැළලිහිණිය,තොටගමුවේ රාහුල හිමි ,වැටහෙයි නොවැටහුණු සැඟවුණු කරුණු,no,,,,,
සැළලිහිණිය,තොටගමුවේ රාහුල හිමි ,නිල් පැහැයක් නැතත් මේ,no,,,,,
සැළලිහිණිය,තොටගමුවේ රාහුල හිමි ,උදයට පෙනේ බොල් පිණි බිඳු පබලු,yes,1,බොල් පිණි බිඳු පබලු,බොල් පිණි,පබලු,Droplets are similar to beads
සැළලිහිණිය,තොටගමුවේ රාහුල හිමි ,බැඳ ඇති විලංගුව පාමිණි සලඹ​,yes,1,පාමිණි සලඹ​,පාද​,මිණි සලඹ,Legs are related to a bracelet 
සැළලිහිණිය,තොටගමුවේ රාහුල හිමි ,සලකා වැටෙන එය බැන්ඳහ ඉදිරි,no,,,,,
සැළලිහිණිය,තොටගමුවේ රාහුල හිමි ,මිනිසුන් දකුණෙ මෙන් උතුරෙන් පෙනෙන​,no,,,,,
සැළලිහිණිය,තොටගමුවේ රාහුල හිමි ,සිහියෙන් තුරන් වෙයි හෙට යන දවස,no,,,,,
අතීතේ දවසක මතක,කලනි රුවන්පතිරණ​,අඳුරු නුබ ගැබ දකින විට මට නුඹේ තරු ඇස් සිහි වුණා,yes,1,තරු ඇස්,ඇස්,තරු,Eyes are similar to stars
අතීතේ දවසක මතක,කලනි රුවන්පතිරණ​,විදුලි එළි වැට නිවෙන තරමට එදා ඔය ඇස් ඇවිලුණා,no,0,,,,
අතීතේ දවසක මතක,කලනි රුවන්පතිරණ​,මගේ හදවත නැවත නැවතම කිනිසි තුඩකින් පෑරුණා,no,0,,,,
අතීතේ දවසක මතක,කලනි රුවන්පතිරණ​,මතක මිටියම මටත් නොදැනිම සරත් සුළගට මුසු වුණා,no,0,,,,
යළි නොහැරෙන්ට යා යුතු ගමනකි,කලනි රුවන්පතිරණ​,මේ ජීවිතය දැල්වෙන මැටි පහනක්  ය,yes,1,මේ ජීවිතය දැල්වෙන මැටි පහනක්,මේ ජීවිතය,මැටි පහනක්,Life is like a lamp made of clay
යළි නොහැරෙන්ට යා යුතු ගමනකි,කලනි රුවන්පතිරණ​,පින් මදි වෙද්දි එන මරණය සුළඟක් ය,yes,1,මරණය සුළඟක්,මරණය,සුළඟ,Death is similar to wind
යළි නොහැරෙන්ට යා යුතු ගමනකි,කලනි රුවන්පතිරණ​,පව් පළ දෙන්න යන්නේ එක ක්‍ෂණයක් ය,no,0,,,,
සන්නස,කලනි රුවන්පතිරණ​,මේඝ වළාවෙනි ගුවන් තටාකේ මාරුතයක දැවටී,yes,1,ගුවන් තටාකේ,ගුවන,තටාකය,Sky is related to a pool
සන්නස,කලනි රුවන්පතිරණ​,පියා විදා රණ හසුන් කැලක් සේ,no,0,,,,
සන්නස,කලනි රුවන්පතිරණ​,එන්න තවත් නොරැඳී,no,0,,,,
සන්නස,කලනි රුවන්පතිරණ​,මා සිත් කව ඈ වෙත ගෙන යන්නට,yes,1,මා සිත් කව,මා සිත්,කවිය​,Author states that his mind is similar to a poem
උතුරෙන්,සාගර පලන්සූරිය,ගෙන එයි මිහිරි ගී මඳනල හමන  විට​,no,0,,,,
උතුරෙන්,සාගර පලන්සූරිය,වැටහෙයි නොවැටහුණු සැඟවුණු කරුණු මට​,no,0,,,,
උතුරෙන්,සාගර පලන්සූරිය,නිල් පැහැයක් නැතත් මේ වැලි පොලොවට පිට​,no,0,,,,
උතුරෙන්,සාගර පලන්සූරිය,උදයට පෙනේ පෙනේ බොල් පිනි බිඳු පබලු ඇට​,yes,1,බොල් පිනි බිඳු පබලු ඇට,බොල් පිනි,පබලු ඇට,Droplets are similar to beads
උතුරෙන්,සාගර පලන්සූරිය,බැඳ ඇති විලංගුව පා මිණි සලඹ කොට,yes,1,පා මිණි සලඹ,පාද​,මිණි සලඹ,Legs are related to a bracelet 
උතුරෙන්,සාගර පලන්සූරිය,සලකා වැටෙන එය බැන්දහු ඉදිරි පිට,no,0,,,,
උතුරෙන්,සාගර පලන්සූරිය,මිනිසුන් දකුණෙ මෙන් උතුරෙත් පෙනෙන විට,no,0,,,,
උතුරෙන්,සාගර පලන්සූරිය,සිහියෙන් තුරන් වෙයි හෙට යන දවස මට,no,0,,,,
වැස්ස,එච්.එම්.කුඩලිගම,ගී දේවියට කැප කල දෙවොලකට සම,no,0,,,,
වැස්ස,එච්.එම්.කුඩලිගම,කුටියක සුවඳ දෙයි කළුවැල් කපුරු දුම,no,0,,,,
වැස්ස,එච්.එම්.කුඩලිගම,අද නම් නුවර එලියකි මා වෙසෙන ගම,yes,1,නුවර එලියකි මා වෙසෙන ගම,මා වෙසෙන ගම,නුවර එලිය,Author states that his vilage is similar to Nuwara Eliya on that particular day
වැස්ස,එච්.එම්.කුඩලිගම,මෙ පමණ අලස දවසක් නොදුටුවෙමි මම,no,0,,,,
නූතන කවි,එරන්ද ඉෂාන් උයන්වත්තේ,තරුවකට පෙම් කරන තරමට,no,0,,,,
නූතන කවි,එරන්ද ඉෂාන් උයන්වත්තේ,ඉතිරි කරගත් කඳුලු උල්පත,yes,1,කඳුලු උල්පත,කඳුලු,උල්පත,Tears are related to a fountain
නූතන කවි,එරන්ද ඉෂාන් උයන්වත්තේ,රහසෙ නිම්නට මුදා හල බව,no,0,,,,
නූතන කවි,එරන්ද ඉෂාන් උයන්වත්තේ,ගලන ගඟවත් දන්නෙ නෑ තව,no,0,,,,
සඳත් ගිය පසු නින්දට ,පියුමන්ති ප්‍රියදර්ශනී ,සසර පුරා සෙනෙහෙ සිතින් මා රැකගත් නාකි,no,0,,,,
සඳත් ගිය පසු නින්දට ,පියුමන්ති ප්‍රියදර්ශනී ,අරුතක් දී සෙනෙහෙ අරන් මගේ ලොවට නුඹ වැඩියට​,no,0,,,,
සඳත් ගිය පසු නින්දට ,පියුමන්ති ප්‍රියදර්ශනී ,පතිනි කරන් නුඹේ ලොවේ අලුතින් ජීවය දුන්නට​,no,0,,,,
සඳත් ගිය පසු නින්දට ,පියුමන්ති ප්‍රියදර්ශනී ,දෙපා වඳිමි රන්තරනේ නුඹයි දෙවිඳු මගෙ දෙවොලට​,yes,1, නුඹයි දෙවිඳු මගෙ දෙවොලට, නුඹ, දෙවිඳු,The narator of the poem relate a person(Prince Siddartha) to a God who is in her temple
සඳත් ගිය පසු නින්දට ,පියුමන්ති ප්‍රියදර්ශනී ,කෙලෙසක නම් කැටි කරනුද සෙනෙහස කව්පද වලු,no,0,,,,
සඳත් ගිය පසු නින්දට ,පියුමන්ති ප්‍රියදර්ශනී ,උපමා රූපක මදි මට සම කරන්න නුඹේ නමට,no,0,,,,
සඳත් ගිය පසු නින්දට ,පියුමන්ති ප්‍රියදර්ශනී ,මා ලිය ඒ සිය දහසක් ආදර බර කවි පද මැද,no,0,,,,
සඳත් ගිය පසු නින්දට ,පියුමන්ති ප්‍රියදර්ශනී ,සෙත් කවියයි හිමියනේ නුඹ කියවු සැණින් හිතම නිවන​,yes,1,සෙත් කවියයි හිමියනේ නුඹ,නුඹ,සෙත් කවිය,The narator of the poem relate a person(Prince Siddartha) to a blessing